Iterations,Reward function-mean,Advantage function-mean,ECO-R heuristic model free-mean,ECO-R heuristic model based-mean,Maximum entropy natural features-mean,Maximum entropy ECO-R model free-mean,Maximum entropy ECO-R model based-mean,LPAL natural features-mean,LPAL ECO-R model free-mean,LPAL ECO-R model based-mean,BC-mean,Expert-mean,Reward function-error,Advantage function-error,ECO-R heuristic model free-error,ECO-R heuristic model based-error,Maximum entropy natural features-error,Maximum entropy ECO-R model free-error,Maximum entropy ECO-R model based-error,LPAL natural features-error,LPAL ECO-R model free-error,LPAL ECO-R model based-error,BC-error,Expert-error,REIRL,REIRL-error
0,-244.452075303,-243.968817071,-244.295653814,-243.056711907,-243.237245771,-243.949075269,-243.588454015,-171.997559706,-41.7612941578,-38.0101683365,-3.76224164174,8.813,1.57199619044,2.01491545571,1.74902266173,1.36915496102,1.82586304062,1.75888509331,2.10355399459,28.4340559502,12.0311012685,9.15306112179,8.01368069549,0.03815,-243.16,8.3
15,-65.3695720927,-65.4537446007,-81.1470360586,-78.8286715464,-159.966402913,-213.641695454,-155.364433496,-171.997559706,-41.7612941578,-38.0101683365,-3.76224164174,8.813,1.22410220996,1.04895409754,6.21666762808,3.76687167273,18.6744105686,15.8169160033,16.8929902001,28.4340559502,12.0311012685,9.15306112179,8.01368069549,0.03815,-156.57,65.6
30,-51.3844822678,-50.7988360179,-26.015515946,-26.2123063299,-63.1914686606,-204.251793411,-100.608014588,-171.997559706,-41.7612941578,-38.0101683365,-3.76224164174,8.813,3.91114780751,3.18320560467,2.45420798685,2.21564872191,14.1757584456,22.5543912301,27.8627177054,28.4340559502,12.0311012685,9.15306112179,8.01368069549,0.03815,-62.5,46.4
45,-34.611711208,-31.3278513605,-11.2565630089,-11.2887829764,-26.8215436538,-205.266060289,-79.5114995718,-171.997559706,-41.7612941578,-38.0101683365,-3.76224164174,8.813,5.02570281973,4.57760988275,1.20386549826,1.35359351282,4.3450226331,24.5579210963,31.4489949105,28.4340559502,12.0311012685,9.15306112179,8.01368069549,0.03815,-30.3,26.9
60,-21.6100000649,-17.4292138717,-5.87061088649,-5.74765176184,-13.287956243,-198.736667159,-70.9544483547,-171.997559706,-41.7612941578,-38.0101683365,-3.76224164174,8.813,4.64882754858,2.95302290423,0.995939018071,0.948077218632,2.5749127233,25.0101703819,34.7164201406,28.4340559502,12.0311012685,9.15306112179,8.01368069549,0.03815,-15.6,14.4
75,-12.8127088682,-9.34461604165,-3.07937463424,-2.91710982073,-8.31016585308,-195.572176153,-64.4368634913,-171.997559706,-41.7612941578,-38.0101683365,-3.76224164174,8.813,3.15806349961,1.47053459689,0.664323380341,0.743409200797,2.48507723507,24.1061704262,33.4997031046,28.4340559502,12.0311012685,9.15306112179,8.01368069549,0.03815,-9.17,11.2
90,-6.95622136622,-4.59745468407,-1.13326115083,-1.602147317,-4.7302325854,-192.408658841,-62.3682706502,-171.997559706,-41.7612941578,-38.0101683365,-3.76224164174,8.813,1.69522069719,0.965309347963,0.552546048218,0.608991255668,1.28682655,25.1370515882,35.1474054267,28.4340559502,12.0311012685,9.15306112179,8.01368069549,0.03815,-5.49,9.3
105,-3.27406552726,-2.48301426802,-0.667544420886,-0.347282804511,-1.49651820159,-193.511942996,-58.9911654554,-171.997559706,-41.7612941578,-38.0101683365,-3.76224164174,8.813,0.982430147477,0.570760841878,0.740857524346,0.696115732793,1.21642960604,25.4025562648,33.4491229467,28.4340559502,12.0311012685,9.15306112179,8.01368069549,-3.18,-2.88,9.7
120,-1.6263007698,-0.653656696964,0.891918237374,0.603424010095,-0.474993822323,-187.127104003,-57.4036666046,-171.997559706,-41.7612941578,-38.0101683365,-3.76224164174,8.813,0.939975746026,0.585765918468,0.438957301263,0.581889749515,0.966635516156,25.2078053454,34.1654899076,28.4340559502,12.0311012685,9.15306112179,8.01368069549,-1.6,-1.48,8.17
135,0.175002843742,0.391860771326,1.34431655661,0.877800239508,0.555043185947,-186.55178543,-58.1640915075,-171.997559706,-41.7612941578,-38.0101683365,-3.76224164174,8.813,0.590990991594,0.635430012751,0.398876968459,0.517581561174,0.678509072049,28.1673343603,37.11487174,28.4340559502,12.0311012685,9.15306112179,8.01368069549,-0.32,-0.15,8.67
150,0.591136341613,1.28763547173,1.57878396988,1.9597207189,1.49977605362,-189.937970531,-59.3818433437,-171.997559706,-41.7612941578,-38.0101683365,-3.76224164174,8.813,0.534385210326,0.460465653354,0.325874385717,0.488781998658,0.544804560146,30.1562379537,39.009514264,28.4340559502,12.0311012685,9.15306112179,8.01368069549,0.83,0.73,4.82
