Iterations,Reward function-mean,Advantage function-mean,ECO-R heuristic model free-mean,ECO-R heuristic model based-mean,Maximum entropy natural features-mean,Maximum entropy ECO-R model free-mean,Maximum entropy ECO-R model based-mean,LPAL natural features-mean,LPAL ECO-R model free-mean,LPAL ECO-R model based-mean,BC-mean,Expert-mean,Reward function-error,Advantage function-error,ECO-R heuristic model free-error,ECO-R heuristic model based-error,Maximum entropy natural features-error,Maximum entropy ECO-R model free-error,Maximum entropy ECO-R model based-error,LPAL natural features-error,LPAL ECO-R model free-error,LPAL ECO-R model based-error,BC-error,Expert-error,REIRL,REIRL-error,RE-IRL-ECO,RE-IRL-ECO-error,RE-IRL-N,RE-IRL-N-error,ME-IRL-N,ME-IRL-N-error
0,-243.227855987,-243.971108016,-243.93334716799998,-243.926360278,-243.134805473,-243.499105552,-243.81301123,-189.33685761200002,-166.851920272,-137.323133202,-124.919048075,4.397,1.27760861176,1.40054788632,1.30106012629,1.3679139580700002,1.11481264035,1.26250549433,1.35401459632,16.900926773,21.4986166852,14.5377185278,25.995439596300002,0.06242,-243.22,8.08,-243.22031962393913,8.083191198178497,-248.13262268813054,35.20304718003413,-244.17587865584218,8.455662097323057
15,-64.6012933193,-65.2262699544,-89.82099899010001,-89.36359276190001,-171.60618460799998,-197.43203671400002,-237.383464524,-189.33685761200002,-166.851920272,-137.323133202,-124.919048075,4.397,0.9513574605480001,0.7295643205940001,4.10635626356,5.16733785642,12.7251307857,12.815469449,15.3063694572,16.900926773,21.4986166852,14.5377185278,25.995439596300002,0.06242,-183.51,95.72,-183.51556789992722,95.721601630671,-111.29606824033506,129.57144142358464,-183.72630396825238,101.6610471495993
30,-50.7114810089,-49.5115646179,-32.9492270717,-32.1319135138,-74.5031588649,-167.545186782,-222.522225934,-189.33685761200002,-166.851920272,-137.323133202,-124.919048075,4.397,2.5065871055400004,2.5635779314400002,3.17994858533,2.49021298585,13.026545074400001,15.5351121883,20.4082030126,16.900926773,21.4986166852,14.5377185278,25.995439596300002,0.06242,-85.56,99.43,-85.56157105260554,99.42676708760114,-99.3735925863489,102.07137870259069,-84.87525932569928,95.03880696258754
45,-33.1630667238,-29.4672466199,-16.9956593929,-16.2158354415,-32.596589992199995,-145.263715902,-205.67095661099998,-189.33685761200002,-166.851920272,-137.323133202,-124.919048075,4.397,3.8021216005699996,3.30426959408,1.936742023,1.63387560926,6.74658137735,15.338989865599999,21.5449533724,16.900926773,21.4986166852,14.5377185278,25.995439596300002,0.06242,-38.68,63.2,-38.6755932677146,63.19975043780768,-93.62435816665426,89.87964801231881,-40.23781012657496,83.64540173217883
60,-19.844992036,-15.4180410601,-10.0958575842,-10.8763267728,-17.9514740961,-130.086645215,-195.086651452,-189.33685761200002,-166.851920272,-137.323133202,-124.919048075,4.397,3.85955079172,1.9907642061500002,1.32134316616,2.8086375750200006,3.70547789583,15.7817762832,21.3266553825,16.900926773,21.4986166852,14.5377185278,25.995439596300002,0.06242,-19.95,37.24,-19.956795790005152,37.2408206746516,-89.46878247522974,83.09417694444042,-23.56597505504815,81.06462779020063
75,-10.8693477346,-8.031257376960001,-6.41771320178,-7.519064120589999,-9.686635661539999,-118.64977212,-186.763611225,-189.33685761200002,-166.851920272,-137.323133202,-124.919048075,4.397,3.0349040997400003,1.08982460045,0.828699364779,3.09799844727,1.4572714855899997,16.4612292949,22.1877417576,16.900926773,21.4986166852,14.5377185278,25.995439596300002,0.06242,-13.23,38.21,-13.229948216075723,38.212285630491444,-84.79932202408835,71.32122246429985,-13.873137106113358,48.76358218015889
90,-6.28196805783,-4.3838763973,-4.07684272385,-5.8151829065,-5.48754424829,-110.72623527299999,-187.58328684,-189.33685761200002,-166.851920272,-137.323133202,-124.919048075,4.397,2.17682304052,0.808639850054,0.8256774932500001,3.1595699773500003,1.30004281522,15.0051241679,23.8435799376,16.900926773,21.4986166852,14.5377185278,25.995439596300002,0.06242,-6.97,23.68,-6.968103520915423,23.68405536123696,-81.68602345554805,73.69923176532305,-7.868377649982972,33.68805615036141
105,-3.2904332582499998,-2.1492137366999997,-2.07770828711,-3.40748653946,-3.2247269189099996,-104.496800132,-183.322985547,-189.33685761200002,-166.851920272,-137.323133202,-124.919048075,4.397,1.61938733407,0.489850513873,1.07711092812,2.51295316385,0.999800155821,17.2173745928,22.416367103400002,16.900926773,21.4986166852,14.5377185278,25.995439596300002,0.06242,-2.88,11.11,-2.8757453931322616,11.107474909513055,-78.63458694081723,62.548868846914175,-5.608143435365263,31.933174234870414
120,-1.38634912465,-0.876012263875,-1.37672290302,-2.6563294242,-1.5104903270399999,-97.9442765176,-175.583626243,-189.33685761200002,-166.851920272,-137.323133202,-124.919048075,4.397,0.909847656623,0.49381588478699995,0.606836484337,2.8584883254299998,0.7711426351940001,16.929516669,21.4626400332,16.900926773,21.4986166852,14.5377185278,25.995439596300002,0.06242,-1.48,6.37,-1.48497002930355,6.378443089076574,-74.6171724751711,68.4597373042971,-3.8026089527523106,28.049211440096
135,0.009870516792649999,0.629177314304,-0.691344299894,-1.7292887249400002,-0.252857165923,-94.3656845205,-171.25214828100002,-189.33685761200002,-166.851920272,-137.323133202,-124.919048075,4.397,0.693543261627,0.40087065949,0.5577150686060001,2.90000320119,0.642490876787,17.8379709266,21.8037781051,16.900926773,21.4986166852,14.5377185278,25.995439596300002,0.06242,-0.15,4.97,-0.15010956903164246,4.971076519426742,-73.94860170455843,75.02703796436884,-1.5804672017277297,20.29301598285467
